title,price_gbp,rating_word,rating_num,stock_status,stock_quantity,genre
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,4,In stock,7,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,4,In stock,6,Mystery
In the Woods (Dublin Murder Squad #1),38.38,Two,2,In stock,6,Mystery
The Silkworm (Cormoran Strike #2),23.05,Five,5,In stock,3,Mystery
The Exiled,43.45,Three,3,In stock,3,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,1,In stock,3,Mystery
Extreme Prey (Lucas Davenport #26),25.4,Three,3,In stock,3,Mystery
Career of Evil (Cormoran Strike #3),24.72,Two,2,In stock,3,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,4,In stock,1,Mystery
The Girl You Lost,12.29,Five,5,In stock,1,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,3,In stock,1,Mystery
Blood Defense (Samantha Brinkman #1),20.3,Three,3,In stock,1,Mystery
1st to Die (Women's Murder Club #1),53.98,One,1,In stock,1,Mystery
Tipping the Velvet,53.74,One,1,In stock,20,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,3,In stock,16,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Five,5,In stock,16,Historical Fiction
The House by the Lake,36.95,One,1,In stock,15,Historical Fiction
Mrs. Houdini,30.25,Five,5,In stock,15,Historical Fiction
The Marriage of Opposites,28.08,Four,4,In stock,14,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Three,3,In stock,14,Historical Fiction
"Love, Lies and Spies",20.55,Two,2,In stock,12,Historical Fiction
A Paris Apartment,39.01,Four,4,In stock,12,Historical Fiction
Lilac Girls,17.28,Two,2,In stock,11,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,Three,3,In stock,7,Historical Fiction
The Invention of Wings,37.34,One,1,In stock,6,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Four,4,In stock,5,Historical Fiction
The Passion of Dolssa,28.32,Five,5,In stock,4,Historical Fiction
Girl With a Pearl Earring,26.77,One,1,In stock,4,Historical Fiction
Voyager (Outlander #3),21.07,Five,5,In stock,3,Historical Fiction
The Red Tent,35.66,Five,5,In stock,3,Historical Fiction
The Last Painting of Sara de Vos,55.55,Two,2,In stock,3,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,One,1,In stock,3,Historical Fiction
Girl in the Blue Coat,46.83,Two,2,In stock,3,Historical Fiction
Between Shades of Gray,20.79,Five,5,In stock,3,Historical Fiction
While You Were Mine,41.32,Five,5,In stock,1,Historical Fiction
The Secret Healer,34.56,Three,3,In stock,1,Historical Fiction
Starlark,25.83,Three,3,In stock,1,Historical Fiction
Lost Among the Living,27.7,Four,4,In stock,1,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,5,In stock,1,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,5,In stock,19,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,1,In stock,16,Sequential Art
This One Summer,19.49,Four,4,In stock,16,Sequential Art
The Nameless City (The Nameless City #1),38.16,Four,4,In stock,16,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,2,In stock,16,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,3,In stock,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,5,In stock,16,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,One,1,In stock,16,Sequential Art
Patience,10.16,Three,3,In stock,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,4,In stock,16,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,1,In stock,16,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,2,In stock,16,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,3,In stock,16,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,2,In stock,16,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,2,In stock,16,Sequential Art
I am a Hero Omnibus Volume 1,54.63,Three,3,In stock,16,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,2,In stock,16,Sequential Art
Danganronpa Volume 1,51.99,Four,4,In stock,16,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,4,In stock,16,Sequential Art
Camp Midnight,17.08,Four,4,In stock,16,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,2,In stock,16,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,One,1,In stock,15,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,4,In stock,15,Sequential Art
Batman: The Long Halloween (Batman),36.5,Two,2,In stock,15,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,Five,5,In stock,15,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,4,In stock,14,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,1,In stock,14,Sequential Art
Through the Woods,25.38,Two,2,In stock,14,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,5,In stock,14,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,4,In stock,14,Sequential Art
Robin War,47.82,Three,3,In stock,14,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,2,In stock,14,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,2,In stock,14,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,2,In stock,14,Sequential Art
El Deafo,57.62,Five,5,In stock,14,Sequential Art
Batman: Europa,32.01,Two,2,In stock,14,Sequential Art
Art Ops Vol. 1,48.8,Three,3,In stock,14,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,2,In stock,14,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,4,In stock,9,Sequential Art
Roller Girl,14.1,Five,5,In stock,8,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,1,In stock,7,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four,4,In stock,6,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three,3,In stock,6,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,1,In stock,5,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One,1,In stock,5,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two,2,In stock,4,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four,4,In stock,4,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,3,In stock,3,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five,5,In stock,3,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five,5,In stock,3,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three,3,In stock,3,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One,1,In stock,3,Sequential Art
Original Fake,31.45,Three,3,In stock,3,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One,1,In stock,3,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two,2,In stock,3,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,One,1,In stock,3,Sequential Art
Awkward,38.02,Two,2,In stock,3,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One,1,In stock,2,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,3,In stock,2,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,5,In stock,2,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,4,In stock,1,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two,2,In stock,1,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three,3,In stock,1,Sequential Art
The Complete Maus (Maus #1-2),10.64,Three,3,In stock,1,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three,3,In stock,1,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One,1,In stock,1,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five,5,In stock,1,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four,4,In stock,1,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three,3,In stock,1,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four,4,In stock,1,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three,3,In stock,1,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four,4,In stock,1,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five,5,In stock,1,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five,5,In stock,1,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Four,4,In stock,1,Sequential Art
The Secret Garden,15.08,Four,4,In stock,5,Classics
The Metamorphosis,28.58,One,1,In stock,5,Classics
The Pilgrim's Progress,50.26,Two,2,In stock,4,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,2,In stock,4,Classics
Little Women (Little Women #1),28.07,Four,4,In stock,4,Classics
Gone with the Wind,32.49,Three,3,In stock,4,Classics
Candide,58.63,Three,3,In stock,4,Classics
Animal Farm,57.22,Three,3,In stock,4,Classics
Wuthering Heights,17.73,Three,3,In stock,3,Classics
The Picture of Dorian Gray,29.7,Two,2,In stock,3,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four,4,In stock,3,Classics
Beowulf,38.35,Two,2,In stock,3,Classics
And Then There Were None,35.01,Two,2,In stock,3,Classics
The Story of Hong Gildong,43.19,Four,4,In stock,1,Classics
The Little Prince,45.42,Two,2,In stock,1,Classics
Sense and Sensibility,37.46,One,1,In stock,1,Classics
Of Mice and Men,47.11,Two,2,In stock,1,Classics
Emma,32.93,Two,2,In stock,1,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One,1,In stock,1,Classics
Sophie's World,15.94,Five,5,In stock,18,Philosophy
The Death of Humanity: and the Case for Life,58.11,Four,4,In stock,16,Philosophy
The Stranger,17.44,Four,4,In stock,15,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,1,In stock,8,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13,One,1,In stock,8,Philosophy
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five,5,In stock,7,Philosophy
Critique of Pure Reason,20.75,One,1,In stock,5,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One,1,In stock,2,Philosophy
The Nicomachean Ethics,36.34,One,1,In stock,1,Philosophy
Meditations,25.89,Two,2,In stock,1,Philosophy
Beyond Good and Evil,43.38,One,1,In stock,1,Philosophy
Chase Me (Paris Nights #2),25.27,Five,5,In stock,19,Romance
Black Dust,34.53,Five,5,In stock,19,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,1,In stock,16,Romance
First and First (Five Boroughs #3),15.97,Four,4,In stock,16,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,One,1,In stock,16,Romance
The Wedding Dress,24.12,One,1,In stock,15,Romance
Suddenly in Love (Lake Haven #1),55.99,Two,2,In stock,15,Romance
Something More Than This,16.24,Four,4,In stock,15,Romance
Doing It Over (Most Likely To #1),35.61,Three,3,In stock,15,Romance
The Wedding Pact (The O'Malleys #2),32.61,Three,3,In stock,14,Romance
Hold Your Breath (Search and Rescue #1),28.82,One,1,In stock,14,Romance
Dirty (Dive Bar #1),40.83,Four,4,In stock,12,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,3,In stock,11,Romance
Off the Hook (Fishing for Trouble #1),47.67,Three,3,In stock,11,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,5,In stock,11,Romance
"Sit, Stay, Love",20.9,Three,3,In stock,7,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,One,1,In stock,5,Romance
The Perfect Play (Play by Play #1),59.99,Three,3,In stock,4,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,One,1,In stock,4,Romance
Changing the Game (Play by Play #2),13.38,Three,3,In stock,4,Romance
A Walk to Remember,56.43,One,1,In stock,4,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,One,1,In stock,3,Romance
The Obsession,45.43,One,1,In stock,3,Romance
Reservations for Two,11.1,Three,3,In stock,3,Romance
Best of My Love (Fool's Gold #20),27.41,Two,2,In stock,3,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,Three,3,In stock,1,Romance
This One Moment (Pushing Limits #1),48.71,One,1,In stock,1,Romance
"Rhythm, Chord & Malykhin",28.34,Two,2,In stock,1,Romance
My Perfect Mistake (Over the Top #1),38.92,Two,2,In stock,1,Romance
Listen to Me (Fusion #1),58.99,Three,3,In stock,1,Romance
Imperfect Harmony,34.74,Four,4,In stock,1,Romance
Fighting Fate (Fighting #6),39.24,Three,3,In stock,1,Romance
Deep Under (Walker Security #1),47.09,Five,5,In stock,1,Romance
Charity's Cross (Charles Towne Belles #4),41.24,One,1,In stock,1,Romance
Bounty (Colorado Mountain #7),37.26,Four,4,In stock,1,Romance
